megawatthours	BPAT	Demand	Day-ahead demand forecast	Net generation	Total interchange	CISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	CPLE	Demand	Day-ahead demand forecast	Net generation	Total interchange	ERCO	Demand	Day-ahead demand forecast	Net generation	Total interchange	FPL	Demand	Day-ahead demand forecast	Net generation	Total interchange	ISNE	Demand	Day-ahead demand forecast	Net generation	Total interchange	MISO	Demand	Day-ahead demand forecast	Net generation	Total interchange	NYIS	Demand	Day-ahead demand forecast	Net generation	Total interchange	PACW	Demand	Day-ahead demand forecast	Net generation	Total interchange	PJM	Demand	Day-ahead demand forecast	Net generation	Total interchange	United States Lower 48 (region)	Demand	Day-ahead demand forecast	Net generation	Total interchange
02:00 EST 1/22/2021	NA	6559	6659	10982	8659	NA	23271	22860	11885	-8937	NA	6368	7000	6081	-287	NA	34073	33484	34076	2	NA	8420	8203	8434	14	NA	12476	11670	10629	-1847	NA	66058	68244	60581	-6488	NA	15011	14859	12323	-2688	NA	2498	2544	1593	-905	NA	87211	84079	92477	5269	NA	405049	398246	397321	-1774
03:00 EST 1/22/2021	NA	6198	6309	10188	7754	NA	21887	21395	11079	-9214	NA	6370	7026	5901	-469	NA	33162	32745	33164	1	NA	8227	8132	8258	31	NA	12281	11500	10419	-1862	NA	65133	67344	59632	-6316	NA	14721	14601	12047	-2674	NA	2369	2425	1588	-781	NA	86489	84602	91592	5107	NA	396812	394765	389905	-2059
04:00 EST 1/22/2021	NA	6033	6126	9942	7438	NA	20946	20674	10823	-8500	NA	6464	7137	5975	-489	NA	32756	32395	32629	-127	NA	8249	8167	8255	6	NA	12547	11500	10640	-1907	NA	64726	67096	59489	-6079	NA	14675	14523	12016	-2659	NA	2267	2365	1607	-660	NA	86533	86486	91567	5037	NA	394527	394120	387834	-2135
05:00 EST 1/22/2021	NA	5967	6017	9886	7386	NA	20235	19937	10383	-8326	NA	6678	7360	6251	-427	NA	32786	32440	32521	-265	NA	8456	8666	8557	101	NA	12739	11820	10726	-2013	NA	65174	67578	59914	-6151	NA	14906	14730	12270	-2636	NA	2227	2339	1593	-634	NA	87981	90718	93446	5469	NA	397089	400393	391097	-1601
06:00 EST 1/22/2021	NA	5959	6003	9785	7295	NA	19871	19489	10555	-8107	NA	7159	7875	6811	-348	NA	33448	33173	33183	-264	NA	9254	9667	9362	108	NA	13020	12660	11099	-1921	NA	67106	69438	61977	-5892	NA	15652	15428	12718	-2934	NA	2206	2345	1547	-659	NA	91266	97028	96477	5219	NA	409182	416553	403105	-1824
07:00 EST 1/22/2021	NA	6042	6096	9873	7332	NA	19784	19427	10750	-7859	NA	7797	8606	7417	-380	NA	35311	35248	35277	-33	NA	10602	11065	10637	35	NA	14091	14040	12058	-2033	NA	70875	73326	66019	-5689	NA	16887	16644	13861	-3026	NA	2206	2382	1602	-604	NA	97245	102109	102255	5020	NA	433191	440756	426778	-2234
08:00 EST 1/22/2021	NA	6348	6417	10226	7746	NA	20254	19871	11743	-7864	NA	8173	8898	7611	-562	NA	38290	38025	38202	-88	NA	11653	11729	11755	102	NA	14975	15060	12812	-2163	NA	75912	78352	70730	-6233	NA	18024	17749	14656	-3368	NA	2306	2479	1684	-622	NA	102560	103109	107455	4905	NA	460240	462622	453854	-2572
09:00 EST 1/22/2021	NA	6866	6981	11345	8707	NA	21543	21093	13224	-8379	NA	8285	8739	7825	-460	NA	40122	39952	40056	-67	NA	12233	11752	12381	148	NA	15321	15290	13133	-2188	NA	79174	80555	73940	-6208	NA	18518	18216	15459	-3059	NA	2540	2726	1683	-857	NA	103538	101833	108489	4959	NA	476130	473650	469716	-2803
10:00 EST 1/22/2021	NA	7509	7727	13381	10574	NA	23408	23203	14209	-8765	NA	8015	8304	7867	-148	NA	40472	40187	40454	-18	NA	12413	12104	12535	122	NA	14943	14940	12847	-2096	NA	79472	80820	74761	-5699	NA	18649	18300	15047	-3602	NA	2805	3041	1564	-1241	NA	101816	100350	106477	4664	NA	480332	477228	472896	-2820
11:00 EST 1/22/2021	NA	7947	8136	13980	10869	NA	24621	24528	14715	-9223	NA	7650	7870	7772	122	NA	40767	40315	40818	51	NA	12582	12294	12519	-63	NA	14687	14240	12586	-2101	NA	78922	80645	74071	-5868	NA	18735	18217	15159	-3576	NA	3028	3257	1585	-1443	NA	99931	98651	105075	5148	NA	478708	475941	471629	-2036
12:00 EST 1/22/2021	NA	8067	8149	14272	11119	NA	24991	24677	15912	-8663	NA	7258	7464	7392	134	NA	40778	40361	40780	2	NA	12745	12451	12641	-104	NA	14640	13960	12435	-2205	NA	78134	80161	72686	-6513	NA	18798	18165	15419	-3379	NA	3100	3277	1617	-1483	NA	98336	97282	103784	5453	NA	474628	471425	467956	-2076
13:00 EST 1/22/2021	NA	8009	8001	13014	9834	NA	24651	24249	16677	-7456	NA	6886	7049	6994	108	NA	40790	40433	40792	2	NA	12902	12578	12898	-4	NA	14643	13830	12531	-2112	NA	77207	79320	71726	-6345	NA	18837	18100	15287	-3550	NA	3071	3200	1751	-1320	NA	97353	96140	102778	5431	NA	468740	465161	460945	-3024
14:00 EST 1/22/2021	NA	7787	7747	12800	9803	NA	24176	23856	17314	-6155	NA	6669	6787	6862	193	NA	40680	40139	40683	3	NA	13031	12589	12999	-32	NA	14651	13960	12663	-1988	NA	76295	78362	70765	-6309	NA	18916	18113	15296	-3620	NA	2971	3092	1862	-1109	NA	96434	95293	101879	5450	NA	462590	459345	454889	-2721
15:00 EST 1/22/2021	NA	7497	7492	12483	9793	NA	23956	23598	17134	-5845	NA	6485	6563	6744	259	NA	40597	39976	40696	98	NA	13250	12739	13095	-155	NA	14856	14060	12855	-2001	NA	75331	77401	69907	-6251	NA	18768	18126	15092	-3676	NA	2956	3006	1846	-1110	NA	95062	95236	100422	5364	NA	456261	455190	448468	-2612
16:00 EST 1/22/2021	NA	7244	7257	12363	9762	NA	23736	23488	17390	-5452	NA	6319	6436	6413	94	NA	40444	39796	40577	132	NA	13416	12902	13351	-65	NA	14974	14500	12956	-2018	NA	74168	76566	68764	-6329	NA	18699	18272	14999	-3700	NA	2918	2928	1806	-1112	NA	94189	97379	99402	5216	NA	451212	454461	443451	-2914
17:00 EST 1/22/2021	NA	7040	7038	11952	9284	NA	23750	23568	17648	-5539	NA	6462	6665	6326	-136	NA	40505	39411	40714	208	NA	13458	12750	13488	30	NA	15487	15320	13410	-2077	NA	74169	76441	68726	-6327	NA	19144	18755	15518	-3626	NA	2845	2853	1636	-1209	NA	95671	102188	100808	5144	NA	452818	459569	445330	-3186
18:00 EST 1/22/2021	NA	6853	6884	11739	9184	NA	23580	23681	16167	-5464	NA	6905	7220	6482	-423	NA	40737	39301	40675	-62	NA	13313	13086	13433	120	NA	16103	16380	13971	-2132	NA	75421	77971	70261	-6177	NA	19994	19505	16142	-3852	NA	2794	2799	1662	-1132	NA	100087	103515	104933	4853	NA	462930	467911	453891	-3535
19:00 EST 1/22/2021	NA	6864	6879	11985	9497	NA	24101	24069	14820	-7477	NA	7448	7603	7065	-383	NA	41143	40327	40863	-280	NA	13539	13173	13614	75	NA	15931	16050	13822	-2109	NA	78836	80866	73634	-6303	NA	19960	19410	16137	-3823	NA	2795	2785	1734	-1061	NA	102896	102370	107753	4866	NA	477346	477070	468343	-3600
20:00 EST 1/22/2021	NA	7193	7135	13083	10564	NA	25004	24983	15605	-8929	NA	7539	7675	7325	-214	NA	41882	41053	41798	-84	NA	13094	12503	13166	72	NA	15464	15510	13327	-2137	NA	79564	81125	74581	-6273	NA	19511	18930	16274	-3237	NA	2850	2883	1703	-1147	NA	102099	101160	106604	4513	NA	481758	479267	474912	-2657
21:00 EST 1/22/2021	NA	7616	7586	13757	10973	NA	26932	26738	16966	-9856	NA	7570	7678	7372	-198	NA	41246	40330	41245	NA	NA	12336	11724	12350	14	NA	15075	14900	12847	-2228	NA	78639	80059	73561	-6272	NA	18971	18437	15421	-3550	NA	2996	3028	1795	-1201	NA	100626	99222	105466	4848	NA	480524	476346	474300	-2162
22:00 EST 1/22/2021	NA	7751	7673	14062	11131	NA	27263	27322	16136	-9653	NA	7525	7683	7182	-343	NA	40254	39636	40213	-41	NA	8435	10850	8402	-33	NA	14358	14220	12161	-2197	NA	77178	78757	71423	-6845	NA	18257	17829	15087	-3170	NA	3008	3012	1709	-1299	NA	98341	96329	103139	4807	NA	468822	467678	461280	-2032
23:00 EST 1/22/2021	NA	7654	7539	13792	10785	NA	26642	26616	15316	-9846	NA	7351	7585	6966	-385	NA	39181	38501	39132	-49	NA	7622	10025	7540	-82	NA	13640	13360	11328	-2312	NA	75298	76728	69811	-6363	NA	17360	17056	14134	-3226	NA	2940	2935	1710	-1230	NA	95640	92833	100561	4928	NA	456359	453407	448217	-2601
00:00 EST 1/23/2021	NA	7526	7351	13514	10447	NA	25906	25591	14648	-9903	NA	7138	7503	6727	-411	NA	37676	37172	37674	-2	NA	4658	9168	4660	2	NA	12864	12550	10680	-2184	NA	72788	74021	67731	-5897	NA	16530	16271	12982	-3548	NA	2864	2855	1784	-1080	NA	92994	90669	97197	4208	NA	439292	438419	430946	-3197
01:00 EST 1/8/2021	NA	6904	6828	13476	10747	NA	25623	25273	13429	-11049	NA	7117	7562	8148	1031	NA	40007	40444	40083	76	NA	9205	8699	9585	380	NA	12982	12180	10411	-2571	NA	73185	72715	69150	-4692	NA	15862	15287	13493	-2369	NA	2651	2711	1529	-1122	NA	91635	86005	94537	2905	NA	442061	433901	434691	-2443
02:00 EST 1/8/2021	NA	6509	6397	11689	9439	NA	24114	23754	12732	-9975	NA	6973	7525	8040	1067	NA	38983	39589	39003	21	NA	8693	8390	9015	322	NA	12670	11850	10172	-2498	NA	71872	70935	67273	-5121	NA	15423	14858	12822	-2601	NA	2445	2507	1324	-1121	NA	90223	85398	94003	3783	NA	430318	422888	422143	-2794
03:00 EST 1/8/2021	NA	6110	6074	11040	9036	NA	22588	22225	11947	-9306	NA	6935	7550	7970	1035	NA	38546	39101	38555	9	NA	8385	8056	8739	354	NA	12516	11700	10098	-2418	NA	70746	70022	65604	-5587	NA	15177	14595	12397	-2780	NA	2317	2373	1457	-860	NA	89589	85612	93549	3963	NA	422740	416441	414761	-3086
04:00 EST 1/8/2021	NA	5958	5800	10751	8275	NA	21508	21316	11283	-8683	NA	7024	7649	7877	853	NA	38569	39287	38569	-1	NA	8322	8000	8647	325	NA	12565	11760	10086	-2479	NA	70383	69802	65432	-5413	NA	15121	14527	12444	-2677	NA	2210	2265	1323	-887	NA	89681	87341	93597	3919	NA	420086	415732	411499	-3724
05:00 EST 1/8/2021	NA	5835	5758	10419	8182	NA	20846	20608	10957	-8672	NA	7290	7841	7868	578	NA	38995	39839	38993	-1	NA	8507	8302	8837	330	NA	12678	12110	10288	-2390	NA	69952	70352	65262	-5070	NA	15343	14761	12470	-2873	NA	2184	2223	1341	-843	NA	90808	91264	94812	4011	NA	422165	422463	413906	-3574
06:00 EST 1/8/2021	NA	5790	5706	10185	7992	NA	20433	20189	10921	-8481	NA	7787	8298	8027	240	NA	40183	41219	40135	-49	NA	9125	9225	9552	427	NA	13443	12920	10976	-2467	NA	70433	72386	66463	-4483	NA	16083	15418	13553	-2530	NA	2145	2207	1341	-804	NA	92588	96972	95926	3342	NA	431760	438359	424010	-3321
07:00 EST 1/8/2021	NA	5831	5699	10127	8071	NA	20356	20295	10805	-8325	NA	8469	8889	8384	-85	NA	42646	44329	42610	-36	NA	10257	10404	10698	441	NA	14391	14250	11985	-2406	NA	73970	76486	70185	-4501	NA	17353	16626	14809	-2544	NA	2171	2227	1426	-745	NA	98070	101567	101065	3004	NA	454882	462782	447365	-2903
08:00 EST 1/8/2021	NA	6112	5906	10803	8317	NA	20838	20839	11551	-8623	NA	8905	9336	8682	-223	NA	46144	48168	45837	-307	NA	11305	11034	11703	398	NA	15283	15290	12974	-2309	NA	78931	81954	75153	-4983	NA	18525	17702	16011	-2514	NA	2219	2306	1437	-782	NA	103616	102810	106324	2718	NA	482750	486341	475331	-3984
09:00 EST 1/8/2021	NA	6623	6366	11684	8802	NA	22163	22186	13033	-9203	NA	9011	9389	8959	-52	NA	48291	50229	47950	-341	NA	12035	11422	12467	432	NA	15365	15350	13079	-2286	NA	82050	84770	77983	-5116	NA	19150	18212	16478	-2672	NA	2433	2508	1597	-836	NA	105661	102132	108788	3137	NA	500831	498545	493885	-3970
10:00 EST 1/8/2021	NA	7186	6950	13564	10401	NA	24162	24284	14519	-9566	NA	8766	9386	9351	585	NA	48340	49155	48296	-43	NA	12519	12065	13020	501	NA	14640	14700	12795	-1845	NA	82931	85244	79184	-4839	NA	19294	18285	16204	-3090	NA	2682	2802	1620	-1062	NA	105984	100844	108948	2974	NA	508755	502734	501960	-3456
11:00 EST 1/8/2021	NA	7590	7381	14046	10728	NA	25569	25722	15806	-9651	NA	8547	9391	9385	838	NA	47526	47438	47532	6	NA	12875	12559	13310	435	NA	13919	14240	12351	-1568	NA	83304	84674	79731	-4739	NA	19293	18180	16187	-3106	NA	2898	3007	1686	-1212	NA	105523	99263	108556	3043	NA	510213	500539	503359	-3229
12:00 EST 1/8/2021	NA	7752	7511	13957	10583	NA	25790	25788	17211	-8631	NA	8328	9337	9255	927	NA	46921	46078	46969	48	NA	13104	12726	13563	459	NA	13485	13790	11965	-1520	NA	83044	83624	79452	-4756	NA	19171	18043	15944	-3227	NA	2956	3053	1466	-1490	NA	104941	97719	108191	3260	NA	507904	494221	500629	-3707
13:00 EST 1/8/2021	NA	7703	7496	13432	9948	NA	24998	24894	17255	-6930	NA	8160	9229	9108	948	NA	46058	44458	46129	70	NA	13152	12721	13687	535	NA	13537	13590	11946	-1591	NA	82379	82311	78905	-4583	NA	19193	17892	16035	-3158	NA	2947	3026	1574	-1373	NA	104120	96413	107351	3240	NA	502756	486090	494712	-3772
14:00 EST 1/8/2021	NA	7532	7398	13218	9859	NA	24024	23728	16482	-6121	NA	8124	9104	8914	790	NA	44651	42886	44659	9	NA	13087	12669	13687	600	NA	13719	13640	12109	-1610	NA	81510	80929	77595	-4903	NA	19210	17795	15968	-3242	NA	2890	2958	1633	-1257	NA	102713	95527	106119	3415	NA	495505	478177	486979	-3595
15:00 EST 1/8/2021	NA	7339	7255	12984	9833	NA	23294	23063	16097	-6245	NA	8101	9007	8689	588	NA	43118	41870	43118	-1	NA	13092	12735	13691	599	NA	14136	13920	12445	-1691	NA	80696	79743	76868	-4807	NA	19195	17797	15975	-3220	NA	2829	2879	1607	-1222	NA	101679	95483	105106	3436	NA	489282	473115	481616	-3196
16:00 EST 1/8/2021	NA	7134	7121	12672	9565	NA	22771	22666	16509	-5653	NA	8170	8991	8546	376	NA	41828	40847	41828	NA	NA	13107	12638	13577	470	NA	14738	14490	12751	-1987	NA	79838	78772	75953	-4804	NA	19420	17976	16283	-3137	NA	2758	2808	1698	-1060	NA	101337	97874	105035	3707	NA	485209	471863	478072	-3155
17:00 EST 1/8/2021	NA	6918	6982	12319	9325	NA	22521	22674	17581	-4549	NA	8389	9143	8587	198	NA	41055	40395	41055	NA	NA	13097	12503	13582	485	NA	15745	15560	13747	-1998	NA	79354	78705	75621	-4636	NA	20020	18522	16655	-3365	NA	2671	2739	1697	-974	NA	102681	102870	106577	3906	NA	486783	477988	479775	-3287
18:00 EST 1/8/2021	NA	6773	6872	12277	9305	NA	22555	23107	18080	-4017	NA	8802	9555	8662	-140	NA	41250	41067	41197	-53	NA	13300	13064	13835	535	NA	16647	16500	14332	-2315	NA	80663	80509	77076	-4722	NA	20757	19400	17295	-3462	NA	2574	2694	1291	-1283	NA	106484	103165	110518	4044	NA	497278	487562	489970	-3798
19:00 EST 1/8/2021	NA	6725	6903	12902	10183	NA	23254	23840	16283	-4306	NA	8854	9631	8900	46	NA	43117	43069	42660	-457	NA	13759	13118	14272	513	NA	16464	16230	14167	-2297	NA	83098	83109	79354	-4985	NA	20518	19216	17358	-3160	NA	2568	2687	1332	-1236	NA	106744	101631	110724	3989	NA	507501	497593	498412	-3280
20:00 EST 1/8/2021	NA	7057	7235	13490	10627	NA	24725	25224	15649	-7802	NA	8791	9557	8789	-2	NA	45670	45398	45338	-332	NA	13336	12518	13899	563	NA	15974	15810	13640	-2334	NA	83029	83167	78758	-5198	NA	20115	18787	16915	-3200	NA	2694	2782	1628	-1066	NA	105127	99980	109606	4488	NA	510790	501494	501916	-4012
21:00 EST 1/8/2021	NA	7418	7555	14153	11110	NA	26906	27352	15895	-9721	NA	8674	9338	8537	-137	NA	46097	45458	46132	35	NA	12640	11818	13212	572	NA	15401	15320	13166	-2235	NA	81744	81918	77823	-4841	NA	19537	18304	16550	-2987	NA	2867	2923	1825	-1042	NA	103183	97685	107222	4048	NA	508209	498937	499711	-3364
22:00 EST 1/8/2021	NA	7496	7562	14233	11055	NA	27315	27671	16247	-10267	NA	8498	9096	8623	125	NA	46150	44959	46150	NA	NA	8889	11015	9296	407	NA	14677	14600	12343	-2334	NA	79999	80598	76157	-4630	NA	18837	17645	16446	-2391	NA	2848	2898	1767	-1081	NA	100573	94493	103867	3303	NA	495628	488956	487780	-3160
23:00 EST 1/8/2021	NA	7349	7339	14002	10990	NA	26786	26956	15584	-9768	NA	8248	8756	8539	291	NA	45731	44070	45809	78	NA	8354	10383	8881	527	NA	13821	13750	11566	-2255	NA	77647	78468	73883	-4638	NA	17939	16851	15347	-2592	NA	2797	2827	1806	-991	NA	97624	90549	100903	3288	NA	481783	473409	473475	-3074
00:00 EST 1/9/2021	NA	7203	7179	13963	11016	NA	26129	26193	14879	-9822	NA	7956	8422	8423	467	NA	44770	43019	44850	80	NA	-6831	9634	-6409	422	NA	13208	12890	10801	-2407	NA	74798	75610	70980	-4539	NA	17117	16036	14731	-2386	NA	2737	2752	1840	-897	NA	94886	87364	97904	3021	NA	468045	457492	458553	-3020
01:00 EST 1/9/2021	NA	6929	6917	12987	10105	NA	25233	25258	14585	-9683	NA	7762	8100	8274	512	NA	43788	41823	43868	80	NA	9580	8977	10051	471	NA	12584	12250	10285	-2299	NA	72791	73815	68934	-4540	NA	16417	15551	13356	-3061	NA	2653	2637	1889	-764	NA	92322	86323	95585	3266	NA	455024	445127	447225	-3159
02:00 EST 1/9/2021	NA	6569	6600	11383	8673	NA	23909	23791	13550	-8675	NA	7661	7891	8171	510	NA	43164	43087	43244	81	NA	9108	8634	9577	469	NA	12197	11880	9802	-2395	NA	71843	71942	67967	-4477	NA	15938	15084	12861	-3077	NA	2507	2512	1936	-571	NA	90676	85481	94604	3933	NA	444860	435500	437134	-2505
03:00 EST 1/9/2021	NA	6292	6259	10955	8303	NA	22426	22308	12532	-8340	NA	7672	7739	8203	531	NA	43007	42772	43087	81	NA	8828	8419	9280	452	NA	12008	11670	9377	-2631	NA	71163	70894	67217	-4410	NA	15663	14791	12626	-3037	NA	2394	2408	1936	-458	NA	90277	85269	94171	3898	NA	438740	428989	430760	-2968
04:00 EST 1/9/2021	NA	6131	6052	10856	8206	NA	21401	21224	11879	-8002	NA	7748	7846	8179	431	NA	43274	43101	43354	81	NA	8770	8443	9264	494	NA	11829	11640	9342	-2487	NA	70645	70439	66988	-4130	NA	15532	14664	12536	-2996	NA	2325	2345	1947	-378	NA	90311	85991	94044	3736	NA	436327	426868	428427	-3097
05:00 EST 1/9/2021	NA	6038	6059	10649	7949	NA	20608	20433	11260	-7973	NA	8019	8014	8262	243	NA	43828	43290	43853	24	NA	8888	8571	9362	474	NA	11845	11710	9515	-2330	NA	70541	70530	67123	-3947	NA	15559	14726	12489	-3070	NA	2279	2299	1940	-339	NA	90049	87567	93685	3640	NA	436099	429156	428901	-2759
06:00 EST 1/9/2021	NA	6049	6051	10574	7790	NA	20270	19929	11308	-7956	NA	8389	8261	8282	-107	NA	44728	44328	44620	-108	NA	9252	9185	9706	454	NA	12248	12120	9955	-2293	NA	71323	71367	67816	-4067	NA	15858	14925	12874	-2984	NA	2258	2284	1934	-324	NA	91417	89705	94343	2929	NA	441929	436627	434811	-3137
07:00 EST 1/9/2021	NA	6135	6098	10658	7705	NA	20084	19713	11565	-7460	NA	8884	8566	8302	-582	NA	46156	45360	45811	-345	NA	9967	10239	10552	585	NA	12905	12800	10953	-1952	NA	72362	72967	68760	-4234	NA	16450	15376	13563	-2887	NA	2270	2311	1912	-358	NA	93184	92890	95895	2717	NA	452776	448696	445360	-3530
08:00 EST 1/9/2021	NA	6309	6281	11060	8130	NA	20305	19920	11270	-7614	NA	9279	8923	8310	-969	NA	48143	47725	47711	-432	NA	10808	11236	11541	733	NA	13547	13650	11527	-2020	NA	74514	75808	70849	-4502	NA	17084	16056	14278	-2806	NA	2339	2368	1895	-444	NA	96377	95098	98772	2403	NA	469091	465336	460665	-4120
09:00 EST 1/9/2021	NA	6691	6572	11671	8804	NA	21033	20643	11368	-8644	NA	9336	9121	8855	-481	NA	49985	49274	49200	-785	NA	12061	12180	12718	657	NA	13863	13880	11630	-2233	NA	76806	78360	73346	-4412	NA	17535	16741	14440	-3095	NA	2465	2486	1893	-572	NA	97859	95087	100822	2972	NA	484055	477604	475324	-4484
10:00 EST 1/9/2021	NA	7142	6911	12878	9570	NA	22137	21889	11623	-9802	NA	8851	8652	9295	444	NA	50161	49337	49388	-773	NA	13005	12840	13729	724	NA	13675	13700	11573	-2102	NA	78361	79740	74263	-5272	NA	17738	17087	14866	-2872	NA	2624	2628	1743	-881	NA	97260	93807	100929	3678	NA	491012	481657	482822	-4460
11:00 EST 1/9/2021	NA	7553	7368	13646	10188	NA	22749	22416	13454	-9670	NA	8319	8123	9666	1347	NA	48746	48252	48163	-582	NA	13362	12920	14176	814	NA	13429	13410	11343	-2086	NA	78771	79714	73970	-5855	NA	17870	17184	14941	-2929	NA	2814	2804	1823	-991	NA	95867	92152	100386	4528	NA	489920	479326	482533	-4332
12:00 EST 1/9/2021	NA	7831	7723	13941	10432	NA	22406	22016	14040	-7579	NA	7863	7606	9757	1894	NA	46889	46542	46342	-546	NA	13329	12647	14060	731	NA	13165	13190	11148	-2017	NA	78300	78681	73352	-5811	NA	17848	17171	14863	-2985	NA	2918	2943	1920	-998	NA	94043	90134	98531	4495	NA	483674	471353	475952	-3093
13:00 EST 1/9/2021	NA	7916	7800	13925	10282	NA	21736	21214	14510	-7047	NA	7370	7123	9134	1764	NA	44979	44735	44701	-278	NA	13128	12327	13771	643	NA	13110	13150	11055	-2055	NA	77215	77061	72079	-5921	NA	17634	17078	14608	-3026	NA	2985	2965	2040	-945	NA	92699	88150	97095	4403	NA	475088	461054	467870	-3318
14:00 EST 1/9/2021	NA	7769	7667	13452	9924	NA	20886	20261	14419	-5673	NA	7005	6795	8507	1502	NA	43171	42829	42799	-372	NA	12862	11980	13375	513	NA	13326	13170	10877	-2449	NA	75719	75177	70706	-5754	NA	17406	16950	14386	-3020	NA	2927	2918	2055	-872	NA	92000	86917	96493	4500	NA	465699	450291	457913	-3273
15:00 EST 1/9/2021	NA	7542	7473	13066	9527	NA	20041	19607	14826	-4695	NA	6701	6563	8104	1403	NA	41553	40961	41416	-137	NA	12619	11892	13010	391	NA	13768	13540	11224	-2544	NA	74258	73390	69558	-5263	NA	17421	16965	14480	-2941	NA	2815	2828	1909	-906	NA	90756	87132	94974	4223	NA	456721	442768	449313	-3226
16:00 EST 1/9/2021	NA	7254	7224	12603	9284	NA	19708	19328	15264	-4157	NA	6616	6600	7894	1278	NA	40507	39618	40355	-152	NA	12548	11704	13004	456	NA	14405	14210	12060	-2345	NA	73194	72195	68978	-4913	NA	17777	17148	14897	-2880	NA	2716	2724	1705	-1011	NA	90780	89810	94433	3655	NA	452679	440973	445748	-3156
17:00 EST 1/9/2021	NA	7013	6989	12289	9008	NA	19597	19340	15198	-3592	NA	6917	6885	7542	625	NA	40020	38893	39937	-83	NA	12498	11605	13057	559	NA	15378	15100	13073	-2305	NA	73209	72464	69431	-4474	NA	18545	17718	16254	-2291	NA	2590	2629	1316	-1274	NA	92448	95164	95663	3220	NA	455667	447643	448966	-2548
18:00 EST 1/9/2021	NA	6886	6825	12063	9164	NA	19994	19770	14915	-4412	NA	7650	7563	7701	51	NA	40440	39426	40377	-63	NA	12887	12355	13739	852	NA	16217	16250	13531	-2686	NA	75178	75000	72062	-3895	NA	19591	18620	16952	-2639	NA	2532	2560	1428	-1104	NA	97689	96748	101361	3681	NA	471334	460909	464519	-2596
19:00 EST 1/9/2021	NA	6913	6796	12499	9930	NA	21269	20929	12347	-6379	NA	8195	7920	7968	-227	NA	42535	41490	42609	73	NA	13702	12843	14869	1167	NA	16000	16040	13391	-2609	NA	78765	78752	74536	-5280	NA	19556	18526	16843	-2713	NA	2564	2562	1703	-861	NA	99976	96455	104576	4609	NA	489045	476536	480070	-2791
20:00 EST 1/9/2021	NA	7215	7074	13445	10839	NA	23070	22679	12709	-9825	NA	8394	8053	7982	-412	NA	44911	44268	44896	-15	NA	13551	12806	14650	1099	NA	15471	15480	12909	-2562	NA	79706	79448	74971	-5469	NA	19145	18178	16156	-2989	NA	2688	2663	1827	-861	NA	99287	95778	104279	5001	NA	496407	484672	488450	-3182
21:00 EST 1/9/2021	NA	7567	7392	14230	11370	NA	25557	25672	14208	-10807	NA	8541	8143	7977	-564	NA	45202	44429	45183	-20	NA	13181	12493	13922	741	NA	14866	14880	12290	-2576	NA	79085	78681	74707	-5065	NA	18709	17767	16109	-2600	NA	2869	2825	1912	-957	NA	98012	94141	102566	4563	NA	497837	486094	489654	-3247
22:00 EST 1/9/2021	NA	7519	7405	14072	11149	NA	26113	26313	14342	-10630	NA	8559	8172	8034	-525	NA	45071	44404	45091	20	NA	12741	12095	13557	816	NA	14378	14220	11654	-2724	NA	78046	77738	74069	-4665	NA	18116	17201	15705	-2411	NA	2848	2801	1888	-960	NA	95971	91756	100017	4054	NA	491668	480271	482856	-3413
23:00 EST 1/9/2021	NA	7388	7258	13707	10826	NA	25731	25743	14218	-10347	NA	8473	8032	8029	-444	NA	44342	43986	44443	102	NA	12156	11595	12900	744	NA	13587	13450	10984	-2603	NA	76453	76019	71683	-5427	NA	17357	16507	14655	-2702	NA	2770	2735	1814	-956	NA	93580	88561	97524	3953	NA	480534	468769	471488	-3628
00:00 EST 1/10/2021	NA	7171	7113	13409	10473	NA	25229	25063	13422	-10226	NA	8316	8200	8009	-307	NA	42990	43038	43151	161	NA	11500	10847	12179	679	NA	12769	12710	10208	-2561	NA	74329	73558	69651	-5232	NA	16548	15809	13470	-3078	NA	2687	2667	1779	-908	NA	91385	85827	94754	3375	NA	466848	455335	457181	-3976
01:00 EST 1/10/2021	NA	6890	6858	12958	9976	NA	24366	24218	12738	-10162	NA	8223	8055	7909	-314	NA	41683	41977	41837	154	NA	11050	10554	11797	747	NA	11907	11990	9436	-2471	NA	72684	72035	68474	-4805	NA	15852	15313	12286	-3566	NA	2583	2567	1827	-756	NA	89051	83808	93239	4194	NA	454351	444526	445278	-3859
02:00 EST 1/10/2021	NA	6496	6534	11358	8547	NA	23137	23001	11924	-9541	NA	8227	8054	7884	-343	NA	40625	42452	40677	52	NA	10717	10323	11661	944	NA	11699	11620	9020	-2679	NA	71812	70420	66921	-5351	NA	15426	14829	11796	-3630	NA	2423	2447	1861	-562	NA	87706	83197	92979	5281	NA	444745	436224	435182	-4229
03:00 EST 1/10/2021	NA	6187	6242	10871	8178	NA	21865	21712	11497	-9115	NA	8337	8181	7888	-449	NA	39859	41926	39919	60	NA	10593	10340	11784	1191	NA	11616	11400	8991	-2625	NA	70997	69565	66756	-4755	NA	15135	14513	11369	-3766	NA	2297	2344	1882	-415	NA	87629	83117	92521	4900	NA	439987	431149	431065	-4203
